2025-08-29 11:17:40,416 [INFO] Starting video processing... Press 'q' to quit. 
2025-08-29 11:17:40,416 [INFO] Saving processed video to output\pose_estimation.avi
2025-08-29 11:17:41,063 [INFO] Marker ID 23 - rvec: [3.13322778 0.66865893 0.44197976], tvec: [-0.07362776  0.0345976   0.71746589]
2025-08-29 11:17:41,063 [INFO] Marker ID 40 - rvec: [ 2.60094989  0.48952646 -0.2434849 ], tvec: [-0.08347988  0.11958061  0.71217771]
2025-08-29 11:17:41,063 [INFO] Marker ID 98 - rvec: [3.12693877 0.67839686 0.45117904], tvec: [-0.03856965  0.10603947  0.7293347 ]
2025-08-29 11:17:41,063 [INFO] Marker ID 124 - rvec: [-1.7465555  -2.65892201  0.55057262], tvec: [-0.01851048  0.03930661  0.74138278]
2025-08-29 11:17:41,111 [INFO] Marker ID 203 - rvec: [2.77291377 0.55389344 0.1680119 ], tvec: [-0.11326715 -0.0133966   0.68808134]
2025-08-29 11:17:41,111 [INFO] Marker ID 62 - rvec: [ 0.56730063 -3.04237152  0.66840492], tvec: [-0.13294861  0.04904222  0.68324808]
2025-08-29 11:17:41,111 [INFO] Marker ID 23 - rvec: [-2.87126111 -0.61258678 -0.41686224], tvec: [-0.07371904  0.03449331  0.71834423]
2025-08-29 11:17:41,111 [INFO] Marker ID 40 - rvec: [ 2.5999612   0.48124519 -0.17211285], tvec: [-0.08366877  0.11932384  0.7125293 ]
2025-08-29 11:17:41,111 [INFO] Marker ID 98 - rvec: [ 2.6742165   0.53945564 -0.23182221], tvec: [-0.03934367  0.10693565  0.73710881]
2025-08-29 11:17:41,111 [INFO] Marker ID 124 - rvec: [-1.7465555  -2.65892201  0.55057262], tvec: [-0.01851048  0.03930661  0.74138278]
2025-08-29 11:17:41,157 [INFO] Marker ID 62 - rvec: [ 0.59291502 -3.08298046  0.57109467], tvec: [-0.13310038  0.04895654  0.68403826]
2025-08-29 11:17:41,157 [INFO] Marker ID 203 - rvec: [-2.77751338 -0.62655938 -0.29734175], tvec: [-0.11357291 -0.01331632  0.68806498]
2025-08-29 11:17:41,157 [INFO] Marker ID 23 - rvec: [3.17244445 0.74629286 0.57314302], tvec: [-0.07270698  0.03364542  0.7070682 ]
2025-08-29 11:17:41,157 [INFO] Marker ID 40 - rvec: [-3.0501578  -0.70164777 -0.41941754], tvec: [-0.08427172  0.11992573  0.7166458 ]
2025-08-29 11:17:41,157 [INFO] Marker ID 124 - rvec: [-1.68588032 -2.64223815  0.44736549], tvec: [-0.01878207  0.03922117  0.74570416]
2025-08-29 11:17:41,157 [INFO] Marker ID 98 - rvec: [ 2.68035637  0.54025989 -0.2396623 ], tvec: [-0.03967942  0.10697468  0.73736437]
2025-08-29 11:17:41,213 [INFO] Marker ID 62 - rvec: [-0.61077206  2.79798178  0.34444513], tvec: [-0.13274968  0.04860277  0.67996393]
2025-08-29 11:17:41,214 [INFO] Marker ID 203 - rvec: [-2.89022545 -0.61622223 -0.37697681], tvec: [-0.11585249 -0.0140415   0.70099112]
2025-08-29 11:17:41,215 [INFO] Marker ID 23 - rvec: [-3.09169768 -0.68138706 -0.13271549], tvec: [-0.07582997  0.03450435  0.73241784]
2025-08-29 11:17:41,215 [INFO] Marker ID 40 - rvec: [3.15711435 0.68912664 0.45863654], tvec: [-0.08433803  0.119212    0.71320308]
2025-08-29 11:17:41,215 [INFO] Marker ID 124 - rvec: [-1.74695299 -2.65934767  0.54872231], tvec: [-0.01915214  0.03866199  0.74139171]
2025-08-29 11:17:41,220 [INFO] Marker ID 98 - rvec: [ 2.62224429  0.49933372 -0.32782011], tvec: [-0.03931922  0.1056599   0.73057822]
2025-08-29 11:17:41,257 [INFO] Marker ID 203 - rvec: [-2.77665054 -0.62657201 -0.29873461], tvec: [-0.11417106 -0.01391783  0.68800345]
2025-08-29 11:17:41,261 [INFO] Marker ID 62 - rvec: [ 0.74987367 -3.34746255 -0.37233517], tvec: [-0.13355889  0.04884479  0.68336581]
